1,2,3,4,5,6
11.762055,11.939247,11.552767,11.533011,11.271494,11.427071
11.431883,11.439135,11.255123,11.126039,10.974291,10.838804
9.079918,8.869659,8.826632,8.702731,8.667275,8.791662
7.4792004,7.4786882,6.9373345,6.8201704,6.4527035,6.307408
5.9295297,6.040159,5.5123425,5.477595,5.169241,5.1031833
6.1726756,6.05092,5.5965996,5.5207357,5.1443768,4.967939
2.594014,2.487136,1.7446579,1.5824503,1.0071962,0.8168488
5.566474,5.4914913,5.399395,5.309901,5.2741237,5.4330764
7.128461,7.312435,6.658222,6.655926,6.355156,6.4315863
3.8689604,3.847514,3.5195901,3.3664918,3.187527,3.1078873
6.2316256,6.412634,5.790304,5.8974304,5.213018,5.600224
4.7279367,5.083057,4.240551,4.3429613,3.6161933,4.0280213
1.1483667,1.659614,0.41762507,0.35447112,-0.0039123176,0.20671824
4.456866,5.2177305,4.2079234,4.376582,4.082885,4.4465203
5.9796143,5.766517,5.431226,5.192641,4.955955,5.0688167
8.939034,8.912895,8.678436,8.58991,8.431885,8.649386
10.196183,10.114889,9.893089,9.810181,9.566258,9.598392
6.2734566,6.054213,5.882331,5.770062,5.745039,5.8192797
4.875818,4.887213,4.3185973,4.2602205,3.913917,3.499546
3.7215202,3.5242913,3.32097,3.4076807,2.822302,2.523729
3.4851742,3.8153696,3.2154627,3.3428066,3.0540366,3.1989803
3.867905,3.561614,3.4766061,3.3592222,3.2354474,3.124147
6.3231597,6.8185215,6.061001,6.2385106,5.905527,6.300272
5.8980193,6.187081,5.7416863,5.9116235,5.674425,6.0456166
5.620012,5.815228,5.164774,5.2716627,4.827228,5.001509
5.383156,5.66158,4.7059436,4.7675138,4.1480427,4.2649617
4.7533355,4.6725354,4.4968567,4.4684668,4.3183827,4.3082213
9.134673,9.379562,8.776251,8.871449,8.4983015,8.633793
6.569261,6.7877355,6.0950246,6.271349,5.5958834,5.9580307
4.795689,4.9659405,4.0844693,4.253548,3.2367146,3.587061
2.5728629,2.889438,2.2175186,2.3872206,1.7473098,1.8953226
1.7337406,1.6287714,1.0979811,0.90659434,0.34370846,0.36790362
1.8233083,1.609313,0.7975488,0.29290783,-0.26987186,-0.68735045
5.3204727,5.4330764,4.9152975,4.833048,4.4607334,4.4889083
6.9591,7.0846586,6.459755,6.471479,5.8990784,6.0095086
7.5688334,7.8284006,7.3277745,7.45272,7.2166543,7.3996787
3.6397152,3.690698,3.3982038,3.4849432,3.2549946,3.4363186
4.5078793,4.8281865,4.0192747,4.107288,3.5931466,3.6702416
4.0862055,4.3711686,3.4869099,3.5060349,2.8937726,3.0032802
3.200753,4.114161,3.2430232,3.7673428,3.2483306,3.9824762
4.699098,5.4336762,4.5225816,5.0169287,4.382445,5.2196107
3.558604,3.5525496,3.048194,3.0579302,2.3997295,2.4160671
3.4810054,3.7066586,2.7937179,2.9086678,1.9087361,2.1251884
1.7994177,2.2600043,0.91224134,1.667231,0.10202065,1.0647924
-0.2887588,-0.41708946,-1.2675734,-0.92393386,-1.9044207,-1.6529169
-2.6566548,-1.3628082,-3.3632603,-1.7531368,-2.9127717,-2.1714745
0.8568724,1.368022,0.027673544,0.2952002,-0.6446321,-0.2950911
1.5769389,2.3476686,0.8493092,1.0907277,0.05185336,0.53784853
2.1016688,2.1866896,0.78096545,0.86277705,-0.2519179,0.124706015
-1.053867,-0.5085049,-2.1580503,-1.567321,-2.6883395,-1.5825921
1.5512816,2.2989717,1.369365,1.7279977,1.4723363,2.2916837
6.7771354,6.9728446,6.542202,6.5834866,6.2135096,6.497117
5.8676906,5.9589267,5.6638017,5.645155,5.4711123,5.9393563
3.1085954,3.3176308,3.0340965,3.0590458,3.0280077,3.5323126
4.056822,4.266096,3.8980234,3.914264,3.910241,4.3554783
4.9252596,5.5857344,4.9293547,5.184768,5.046576,5.691264
4.773553,5.4737825,4.787131,5.017517,4.9317703,5.4885006
6.436757,7.1301184,6.404876,6.690954,6.4662423,7.1572847
5.9961157,6.5788393,5.9742327,6.1498704,5.8419623,6.240853
5.146698,5.4464183,4.8834314,4.825043,4.298363,4.626943
6.266733,6.8099794,6.1674337,6.430452,6.1288004,6.58715
5.566204,6.170045,5.3865423,5.672158,5.2768254,5.7756834
4.1783686,4.565595,3.9802208,4.229648,3.8499908,4.3518777
2.619981,2.787668,2.328907,2.6058223,2.0209398,2.4424572
0.8381964,1.1295274,0.74748343,0.94037277,0.7154109,1.2389661
3.0073464,3.7500775,2.8841288,3.2094016,2.838298,3.3856313
5.0873713,5.4085326,4.8834705,4.977896,4.7290096,5.2091064
7.642671,7.764217,7.429796,7.4742765,7.2645516,7.5294924
7.559834,7.7900996,7.3611355,7.4939585,7.2253394,7.6512656
6.4713063,6.6556993,6.2099094,6.204596,5.852456,6.1182337
6.0117,6.1115994,5.7360826,5.8069196,5.4772453,5.594299
6.143035,6.114324,5.8150086,5.727454,5.512037,5.898493
6.619302,6.9361777,6.391678,6.534754,6.2349253,6.608177
6.34443,6.6180615,6.105644,6.164122,5.9376283,6.309269
6.8094006,7.2254443,6.6260753,6.8169546,6.4899554,6.895101
5.6948214,6.3062615,5.5019975,5.7355437,5.4373355,5.9592557
6.62925,7.0793414,6.421069,6.658464,6.2891016,6.866534
6.8178945,7.0932302,6.683542,6.8672414,6.615232,7.127852
5.9220166,6.298571,5.791483,5.9568048,5.7543783,6.2160826
